"id","class","order","family","genus","species","authority","commonNameEnglish","taxonomyType","uniqueIdentifier"
2018269,"Aves","Eurypygiformes","Rhynochetidae","Rhynochetos",NA,NA,"Rhynochetos Species","biological","40aba516-1240-405e-a83c-939876dcbd3e"
2018271,"Aves","Mesitornithiformes","Mesitornithidae","Mesitornis",NA,NA,"Mesitornis Species","biological","16d02c44-23fc-4791-9986-39dda7b3a308"
2018272,"Aves","Passeriformes","Turdidae","Cataponera",NA,NA,"Cataponera Species","biological","e44339a2-e4f6-4c87-a74d-4f6e32b3d088"
2018273,"Aves","Passeriformes","Muscicapidae","Alethe",NA,NA,"Alethe Species","biological","38b60c23-c68d-4999-b009-8ff5737d6bc6"
2018275,"Aves","Passeriformes","Thraupidae","Pyrrhulagra",NA,NA,"Pyrrhulagra Species","biological","138525f6-0bbe-4c68-8f34-160050310d2e"
2018276,"Aves","Passeriformes","Pycnonotidae","Setornis",NA,NA,"Setornis Species","biological","b2ec9f32-7cde-4b55-8c52-524f609d4fd5"
2018277,"Aves","Passeriformes","Pycnonotidae","Alophoixus",NA,NA,"Alophoixus Species","biological","0436d812-bd78-442c-a059-d81ff15bf6b1"
2018278,"Aves","Passeriformes","Pycnonotidae","Iole",NA,NA,"Iole Species","biological","c74ccc59-cf6f-4ce6-8bb5-bb878c7810c5"
2018279,"Aves","Passeriformes","Pycnonotidae","Hemixos",NA,NA,"Hemixos Species","biological","7e082808-5a65-4b07-b14e-4c3879305600"
2018280,"Aves","Passeriformes","Pycnonotidae","Ixos",NA,NA,"Ixos Species","biological","f2dac412-d0eb-45a2-8fad-f0ba459e2427"
2018281,"Aves","Passeriformes","Pycnonotidae","Hypsipetes",NA,NA,"Hypsipetes Species","biological","f9bd6d46-7f3c-4303-ad1c-3b1cf7049400"
2018283,"Aves","Passeriformes","Pycnonotidae","Pycnonotus",NA,NA,"Pycnonotus Species","biological","9a01dc97-665d-4022-8d25-07c5e793fc2f"
2018284,"Aves","Passeriformes","Pycnonotidae","Euptilotus",NA,NA,"Euptilotus Species","biological","817e54c7-d90b-4f58-8241-c3cb61bca04b"
2018286,"Aves","Psittaciformes","Psittacidae","Melopsittacus",NA,NA,"Melopsittacus Species","biological","75305b42-784b-409b-aabb-16d9305bf924"
2018287,"Aves","Psittaciformes","Psittacidae","Psittaculirostris",NA,NA,"Psittaculirostris Species","biological","c3713795-98be-492d-b004-8d3ea3bec213"
2018289,"Aves","Psittaciformes","Psittacidae","Bolbopsittacus",NA,NA,"Bolbopsittacus Species","biological","b2dcd5b6-861c-4d5c-a21a-ab6f738e9e94"
2018290,"Aves","Psittaciformes","Psittacidae","Loriculus",NA,NA,"Loriculus Species","biological","c2e8823f-2c73-4be7-a039-bce0d073c6f3"
2018291,"Aves","Psittaciformes","Psittacidae","Agapornis",NA,NA,"Agapornis Species","biological","428dcbba-efd7-42b4-9e8a-5bf4b8950828"
2018292,"Aves","Psittaciformes","Psittacidae","Polytelis",NA,NA,"Polytelis Species","biological","98a137c5-a959-4684-8c37-6a8701d9b452"
2018293,"Aves","Psittaciformes","Psittacidae","Alisterus",NA,NA,"Alisterus Species","biological","813fda14-6426-457f-af9f-56349992f703"
2018294,"Aves","Psittaciformes","Psittacidae","Aprosmictus",NA,NA,"Aprosmictus Species","biological","af47488b-6c05-486a-91c0-08deb7dab629"
2018296,"Mammalia","Rodentia","Gliridae","Graphiurus",NA,NA,"Graphiurus Species","biological","5fe76912-3bb2-4b2a-bc8e-b86e17662b51"
2018297,"Mammalia","Carnivora","Mustelidae","Gulo",NA,NA,"Gulo Species","biological","1f7763dc-eb79-474c-a95d-205daa2e0893"
2018298,"Mammalia","Rodentia","Cricetidae","Gyldenstolpia",NA,NA,"Gyldenstolpia Species","biological","7f326c88-f94c-4473-a32a-557c82f0bd11"
2018299,"Mammalia","Diprotodontia","Petauridae","Gymnobelideus",NA,NA,"Gymnobelideus Species","biological","7e0239c3-ddf2-41a6-8488-4f40281175a0"
2018300,"Mammalia","Rodentia","Nesomyidae","Gymnuromys",NA,NA,"Gymnuromys Species","biological","e68cebe7-c030-4688-9512-468e6cf21852"
2018301,"Mammalia","Cetartiodactyla","Ziphiidae","Tasmacetus",NA,NA,"Tasmacetus Species","biological","ee5f1d8d-8d84-474b-b545-d2d425f5dc1f"
