"id","class","order","family","genus","species","commonNameEnglish"
128,"Mammalia","Primates","Cercopithecidae","Allochrocebus","solatus","Sun-tailed Monkey"
129,"Mammalia","Rodentia","Cricetidae","Allocricetulus","curtatus","Mongolian Hamster"
130,"Mammalia","Rodentia","Cricetidae","Allocricetulus","eversmanni","Eversmann's Hamster"
131,"Mammalia","Primates","Atelidae","Alouatta","arctoidea","Ursine Howler Monkey"
132,"Mammalia","Primates","Atelidae","Alouatta","belzebul","Red-handed Howler Monkey"
133,"Mammalia","Primates","Atelidae","Alouatta","caraya","Black-and-gold Howler Monkey"
134,"Mammalia","Primates","Atelidae","Alouatta","discolor","Spix's Red-handed Howler Monkey"
135,"Mammalia","Primates","Atelidae","Alouatta","guariba","Brown Howler Monkey"
136,"Mammalia","Primates","Atelidae","Alouatta","macconnelli","Guianan Red Howler Monkey"
137,"Mammalia","Primates","Atelidae","Alouatta","nigerrima","Black Howler Monkey"
138,"Mammalia","Primates","Atelidae","Alouatta","palliata","Mantled Howler Monkey"
139,"Mammalia","Primates","Atelidae","Alouatta","pigra","Yucatán Black Howler Monkey"
140,"Mammalia","Primates","Atelidae","Alouatta","sara","Bolivian Red Howler Monkey"
141,"Mammalia","Primates","Atelidae","Alouatta","ululata","Maranhão Red-handed Howler Monkey"
142,"Mammalia","Rodentia","Cricetidae","Alticola","albicaudus","White-tailed Mountain Vole"
143,"Mammalia","Rodentia","Cricetidae","Alticola","argentatus","Silver Mountain Vole"
144,"Mammalia","Rodentia","Cricetidae","Alticola","barakshin","Gobi Altai Mountain Vole"
145,"Mammalia","Rodentia","Cricetidae","Alticola","lemminus","Lemming Vole"
146,"Mammalia","Rodentia","Cricetidae","Alticola","macrotis","Large-eared Vole"
147,"Mammalia","Rodentia","Cricetidae","Alticola","montosa","Central Kashmir Vole"
148,"Mammalia","Rodentia","Cricetidae","Alticola","olchonensis","Olkhon Mountain Vole"
149,"Mammalia","Rodentia","Cricetidae","Alticola","roylei","Royle's Mountain Vole"
150,"Mammalia","Rodentia","Cricetidae","Alticola","semicanus","Mongolian Silver Vole"
151,"Mammalia","Rodentia","Cricetidae","Alticola","stoliczkanus","Stoliczka's Mountain Vole"
152,"Mammalia","Rodentia","Cricetidae","Alticola","strelzowi","Flat-headed Vole"
153,"Mammalia","Rodentia","Cricetidae","Alticola","tuvinicus","Tuva Silver Vole"
154,"Mammalia","Afrosoricida","Chrysochloridae","Amblysomus","corriae","Fynbos Golden Mole"
155,"Mammalia","Afrosoricida","Chrysochloridae","Amblysomus","hottentotus","Hottentot Golden Mole"
156,"Mammalia","Afrosoricida","Chrysochloridae","Amblysomus","marleyi","Marley's Golden Mole"
157,"Mammalia","Afrosoricida","Chrysochloridae","Amblysomus","robustus","Robust Golden Mole"
158,"Mammalia","Afrosoricida","Chrysochloridae","Amblysomus","septentrionalis","Highveld Golden Mole"
159,"Mammalia","Chiroptera","Phyllostomidae","Ametrida","centurio","Little White-shouldered Bat"
160,"Mammalia","Rodentia","Muridae","Ammodillus","imbellis","Ammodile"
161,"Mammalia","Cetartiodactyla","Bovidae","Ammodorcas","clarkei","Dibatag"
162,"Mammalia","Rodentia","Sciuridae","Ammospermophilus","harrisii","Harris's Antelope Squirrel"
163,"Mammalia","Rodentia","Sciuridae","Ammospermophilus","interpres","Texas Antelope Squirrel"
164,"Mammalia","Rodentia","Sciuridae","Ammospermophilus","leucurus","White-tailed Antelope Squirrel"
165,"Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel"
166,"Mammalia","Cetartiodactyla","Bovidae","Ammotragus","lervia","Aoudad"
167,"Mammalia","Chiroptera","Furipteridae","Amorphochilus","schnablii","Smoky Bat"
168,"Mammalia","Rodentia","Cricetidae","Amphinectomys","savamis","Ucayali Water Rat"
169,"Mammalia","Scandentia","Tupaiidae","Anathana","ellioti","Madras Treeshrew"
170,"Mammalia","Rodentia","Cricetidae","Andalgalomys","olrogi","Olrog's Pericote"
171,"Mammalia","Rodentia","Cricetidae","Andalgalomys","pearsoni","Pearson's Chaco Mouse"
172,"Mammalia","Rodentia","Cricetidae","Andinomys","edax","Andean Mouse"
173,"Mammalia","Rodentia","Muridae","Anisomys","imitator","Uneven-toothed Rat"
174,"Mammalia","Rodentia","Anomaluridae","Anomalurus","beecrofti","Beecroft's Scaly-tailed Squirrel"
175,"Mammalia","Rodentia","Anomaluridae","Anomalurus","derbianus","Lord Derby's Scaly-tailed Squirrel"
176,"Mammalia","Rodentia","Anomaluridae","Anomalurus","pelii","Pel's Flying Squirrel"
177,"Mammalia","Rodentia","Anomaluridae","Anomalurus","pusillus","Dwarf Scaly-tailed Squirrel"
178,"Mammalia","Rodentia","Muridae","Anonymomys","mindorensis","Mindoro Forest Anonymomys"
179,"Mammalia","Rodentia","Cricetidae","Anotomys","leander","Ecuadoran Ichthyomyine"
180,"Mammalia","Chiroptera","Phyllostomidae","Anoura","cadenai",NA
181,"Mammalia","Chiroptera","Phyllostomidae","Anoura","caudifer","Tailed Tailless Bat"
182,"Mammalia","Chiroptera","Phyllostomidae","Anoura","cultrata","Handley's Tailless Bat"
183,"Mammalia","Chiroptera","Phyllostomidae","Anoura","fistulata","Tube-lipped Tailless Bat"
184,"Mammalia","Chiroptera","Phyllostomidae","Anoura","geoffroyi","Geoffroy's Tailless Bat"
185,"Mammalia","Chiroptera","Phyllostomidae","Anoura","latidens","Broad-toothed Tailless Bat"
186,"Mammalia","Chiroptera","Phyllostomidae","Anoura","luismanueli","Luis Manuel's Tailless Bat"
187,"Mammalia","Eulipotyphla","Soricidae","Anourosorex","assamensis","Assam Mole Shrew"
188,"Mammalia","Eulipotyphla","Soricidae","Anourosorex","schmidi","Giant Mole Shrew"
189,"Mammalia","Eulipotyphla","Soricidae","Anourosorex","squamipes","Mole-shrew"
190,"Mammalia","Eulipotyphla","Soricidae","Anourosorex","yamashinai","Taiwanese Mole Shrew"
191,"Mammalia","Dasyuromorphia","Dasyuridae","Antechinomys","laniger","Kultarr"
