"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
1,"K3_site-2018-06-03T00:00:00.000Z-2018-07-29T00:00:00.000Z","K3_site",-122.765,51.07788,"2018-06-03T00:00:00.000Z","2018-07-29T00:00:00.000Z","","","None","","None","",128,"","Camera Functioning","Unknown","","Parallel","",""
1,"G7_site-2018-07-28T00:00:00.000Z-2018-09-25T00:00:00.000Z","G7_site",-122.90548,50.975711,"2018-07-28T00:00:00.000Z","2018-09-25T00:00:00.000Z","","","None","","None","",131,"","Camera Functioning","Unknown","","Parallel","",""
1,"K7_site-2018-07-14T00:00:00.000Z-2018-08-05T00:00:00.000Z","K7_site",-122.77025,50.9702,"2018-07-14T00:00:00.000Z","2018-08-05T00:00:00.000Z","","","None","","None","",3,"","Camera Functioning","Unknown","","Parallel","",""
1,"E6_site-2018-06-11T00:00:00.000Z-2018-09-18T00:00:00.000Z","E6_site",-122.996068,51.006598,"2018-06-11T00:00:00.000Z","2018-09-18T00:00:00.000Z","","","None","","None","",237,"","Camera Functioning","Unknown","","Parallel","",""
1,"H7_site-2018-07-28T00:00:00.000Z-2018-09-25T00:00:00.000Z","H7_site",-122.883786,50.98697,"2018-07-28T00:00:00.000Z","2018-09-25T00:00:00.000Z","","","None","","None","",133,"","Camera Functioning","Unknown","","Parallel","",""
1,"G9_site-2018-06-04T00:00:00.000Z-2018-08-23T00:00:00.000Z","G9_site",122.93021,50.91845,"2018-06-04T00:00:00.000Z","2018-08-23T00:00:00.000Z","","","None","","None","",538,"","Camera Functioning","Unknown","","Parallel","",""
1,"G9_site-2018-08-23T00:00:00.000Z-2018-09-19T00:00:00.000Z","G9_site",122.93021,50.91845,"2018-08-23T00:00:00.000Z","2018-09-19T00:00:00.000Z","","","None","","None","",538,"","Camera Functioning","Unknown","","Parallel","",""
1,"L10_site-2018-09-01T00:00:00.000Z-2018-09-14T00:00:00.000Z","L10_site",-122.74538,50.90329,"2018-09-01T00:00:00.000Z","2018-09-14T00:00:00.000Z","","","None","","None","",124,"","Camera Functioning","Unknown","","Parallel","",""
1,"I8_site-2018-08-13T00:00:00.000Z-2018-09-25T00:00:00.000Z","I8_site",-122.86188,50.9406,"2018-08-13T00:00:00.000Z","2018-09-25T00:00:00.000Z","","","None","","None","",12,"","Camera Functioning","Unknown","","Parallel","",""
1,"I10-2018-08-03T00:00:00.000Z-2018-09-15T00:00:00.000Z","I10",-122.84893,50.89405,"2018-08-03T00:00:00.000Z","2018-09-15T00:00:00.000Z","","","None","","None","",135,"","Camera Functioning","Unknown","","Parallel","",""
1,"G3_site-2018-08-21T00:00:00.000Z-2018-09-23T00:00:00.000Z","G3_site",-122.912561,51.073422,"2018-08-21T00:00:00.000Z","2018-09-23T00:00:00.000Z","","","None","","None","",230,"","Camera Functioning","Unknown","","Parallel","",""
1,"F6_site-2018-06-13T00:00:00.000Z-2018-09-17T00:00:00.000Z","F6_site",-122.964246,51.022325,"2018-06-13T00:00:00.000Z","2018-09-17T00:00:00.000Z","","","None","","None","",539,"","Camera Functioning","Unknown","","Parallel","",""
1,"D5_site-2018-07-05T00:00:00.000Z-2018-08-05T00:00:00.000Z","D5_site",-123.01934,51.0532,"2018-07-05T00:00:00.000Z","2018-08-05T00:00:00.000Z","","","None","","None","",338,"","Camera Functioning","Unknown","","Parallel","",""
1,"D6_site-2018-06-11T00:00:00.000Z-2018-09-18T00:00:00.000Z","D6_site",-123.01292,51.01497,"2018-06-11T00:00:00.000Z","2018-09-18T00:00:00.000Z","","","None","","None","",337,"","Camera Functioning","Unknown","","Parallel","",""
1,"J9_site-2018-06-01T00:00:00.000Z-2018-07-31T00:00:00.000Z","J9_site",-122.81328,50.93117,"2018-06-01T00:00:00.000Z","2018-07-31T00:00:00.000Z","","","None","","None","",130,"","Camera Functioning","Unknown","","Parallel","",""
1,"K4_site-2018-06-03T00:00:00.000Z-2018-07-06T00:00:00.000Z","K4_site",-122.76674,51.05093,"2018-06-03T00:00:00.000Z","2018-07-06T00:00:00.000Z","","","None","","None","",113,"","Camera Functioning","Unknown","","Parallel","",""
1,"L7_site-2018-07-06T00:00:00.000Z-2018-07-15T00:00:00.000Z","L7_site",-122.73641,50.98292,"2018-07-06T00:00:00.000Z","2018-07-15T00:00:00.000Z","","","None","","None","",121,"","Camera Functioning","Unknown","","Parallel","",""
1,"K3_site-2018-07-29T00:00:00.000Z-2018-09-20T00:00:00.000Z","K3_site",-122.765,51.07788,"2018-07-29T00:00:00.000Z","2018-09-20T00:00:00.000Z","","","None","","None","",128,"","Camera Functioning","Unknown","","Parallel","",""
1,"I4_site-2018-07-16T00:00:00.000Z-2018-09-02T00:00:00.000Z","I4_site",-122.841199,51.0591,"2018-07-16T00:00:00.000Z","2018-09-02T00:00:00.000Z","","","None","","None","",10,"","Camera Functioning","Unknown","","Parallel","",""
1,"L8_site-2018-06-08T00:00:00.000Z-2018-07-07T00:00:00.000Z","L8_site",-122.741765,50.951877,"2018-06-08T00:00:00.000Z","2018-07-07T00:00:00.000Z","","","None","","None","",7,"","Camera Functioning","Unknown","","Parallel","",""
1,"K9_site-2018-07-06T00:00:00.000Z-2018-07-15T00:00:00.000Z","K9_site",-122.77542,50.9194,"2018-07-06T00:00:00.000Z","2018-07-15T00:00:00.000Z","","","None","","None","",122,"","Camera Functioning","Unknown","","Parallel","",""
1,"L6_site-2018-06-02T00:00:00.000Z-2018-07-06T00:00:00.000Z","L6_site",-122.74097,51.00867,"2018-06-02T00:00:00.000Z","2018-07-06T00:00:00.000Z","","","None","","None","",116,"","Camera Functioning","Unknown","","Parallel","",""
1,"C9_site-2018-06-04T00:00:00.000Z-2018-07-08T00:00:00.000Z","C9_site",-123.07291,50.92682,"2018-06-04T00:00:00.000Z","2018-07-08T00:00:00.000Z","","","None","","None","",6,"","Camera Functioning","Unknown","","Parallel","",""
1,"I5_site-2018-07-29T00:00:00.000Z-2018-09-20T00:00:00.000Z","I5_site",-122.85506,51.0306,"2018-07-29T00:00:00.000Z","2018-09-20T00:00:00.000Z","","","None","","None","",126,"","Camera Functioning","Unknown","","Parallel","",""
1,"M9_site-2018-09-01T00:00:00.000Z-2018-09-21T00:00:00.000Z","M9_site",-122.70708,50.91451,"2018-09-01T00:00:00.000Z","2018-09-21T00:00:00.000Z","","","None","","None","",9,"","Camera Functioning","Unknown","","Parallel","",""
1,"J10_site-2018-05-21T00:00:00.000Z-2018-06-19T00:00:00.000Z","J10_site",-122.81475,50.90162,"2018-05-21T00:00:00.000Z","2018-06-19T00:00:00.000Z","","","None","","None","",112,"","Camera Functioning","Unknown","","Parallel","",""
1,"G7_site-2018-06-20T00:00:00.000Z-2018-07-28T00:00:00.000Z","G7_site",-122.90548,50.975711,"2018-06-20T00:00:00.000Z","2018-07-28T00:00:00.000Z","","","None","","None","",131,"","Camera Functioning","Unknown","","Parallel","",""
1,"F8_site-2018-08-23T00:00:00.000Z-2018-09-19T00:00:00.000Z","F8_site",-122.96442,50.951897,"2018-08-23T00:00:00.000Z","2018-09-19T00:00:00.000Z","","","None","","None","",639,"","Camera Functioning","Unknown","","Parallel","",""
